"Id","VALENCE.PLEASANTNESS"
1,33.0865516662598
2,57.7699928283691
3,54.3160743713379
4,52.4359016418457
5,48.2891082763672
6,42.8984718322754
7,49.6440200805664
8,44.5414047241211
9,56.4091644287109
10,28.9474010467529
11,43.3723793029785
12,45.4113502502441
13,29.6206111907959
14,46.5693321228027
15,46.7125282287598
16,40.637451171875
17,51.8204231262207
18,55.4969863891602
19,43.1329879760742
20,51.3886642456055
21,51.2054176330566
22,39.1593704223633
23,51.0993537902832
24,60.7079963684082
25,59.9784126281738
26,59.5212631225586
27,46.000545501709
28,42.222770690918
29,69.7461090087891
30,30.6256122589111
31,40.4875869750977
32,42.9286880493164
33,32.0242767333984
34,40.7083473205566
35,44.0986518859863
36,39.5857429504395
37,51.076831817627
38,44.2125663757324
39,45.7430076599121
40,31.6640682220459
41,55.5788841247559
42,51.8181610107422
43,46.7520599365234
44,54.6502685546875
45,51.837890625
46,40.0394744873047
47,44.281623840332
48,55.2012825012207
49,11.4868669509888
50,44.1264991760254
51,42.331787109375
52,58.0961570739746
53,43.9733695983887
54,46.7584075927734
55,34.4297637939453
56,47.6990394592285
57,46.1749420166016
58,66.5651397705078
59,49.4003524780273
60,31.1023387908936
61,47.8912467956543
62,48.2136497497559
63,49.9127655029297
64,36.7295036315918
65,59.563663482666
66,47.8722953796387
67,53.9425010681152
68,55.6216201782227
