"Id","VALENCE.PLEASANTNESS"
1,51.6666666666667
2,62.3478260869565
3,30.25
4,51.6666666666667
5,44.4545454545455
6,42.1538461538462
7,44.4545454545455
8,51.6666666666667
9,44.4545454545455
10,51.6666666666667
11,48.25
12,59.0161290322581
13,51.6666666666667
14,62.3478260869565
15,59.0161290322581
16,51.6666666666667
17,44.4545454545455
18,26.5555555555556
19,26.5555555555556
20,62.3478260869565
21,42.1538461538462
22,42.1538461538462
23,48.25
24,59.0161290322581
25,44.4545454545455
26,27.3181818181818
27,42.1538461538462
28,59.0161290322581
29,59.0161290322581
30,44.4545454545455
31,59.0161290322581
32,44.4545454545455
33,44.4545454545455
34,8.66666666666667
35,51.6666666666667
36,26.5555555555556
37,62.3478260869565
38,59.0161290322581
39,16.8666666666667
40,16.8666666666667
41,59.0161290322581
42,59.0161290322581
43,59.0161290322581
44,59.0161290322581
45,62.3478260869565
46,59.0161290322581
47,51.6666666666667
48,59.0161290322581
49,16.8666666666667
50,27.3181818181818
51,51.6666666666667
52,48.25
53,62.3478260869565
54,26.5555555555556
55,24.8333333333333
56,51.6666666666667
57,58.5454545454545
58,26.5555555555556
59,58.5454545454545
60,42.1538461538462
61,48.25
62,48.25
63,59.0161290322581
64,48.25
65,59.0161290322581
66,51.6666666666667
67,30.25
68,51.6666666666667
