"Id","VALENCE.PLEASANTNESS"
1,2.24591183662415
2,33.3218688964844
3,8.40054130554199
4,18.5513305664062
5,11.8065786361694
6,33.7901878356934
7,21.1235733032227
8,19.0370388031006
9,27.6359634399414
10,18.4956321716309
11,22.3441963195801
12,41.1303749084473
13,6.48481464385986
14,22.8436794281006
15,21.8362159729004
16,17.2100791931152
17,6.11368703842163
18,10.0509052276611
19,10.954306602478
20,28.0087356567383
21,36.9943733215332
22,14.058159828186
23,24.4489669799805
24,17.5971412658691
25,20.4567756652832
26,40.7184867858887
27,26.7842807769775
28,23.9491920471191
29,44.4678764343262
30,12.1149778366089
31,27.6701126098633
32,6.23459815979004
33,-4.04832220077515
34,23.3467559814453
35,17.8988418579102
36,18.0753307342529
37,22.8996829986572
38,26.4703674316406
39,19.3349628448486
40,-4.69258832931519
41,19.2242336273193
42,30.0940704345703
43,-2.42105960845947
44,23.8721027374268
45,22.6908569335938
46,20.3798599243164
47,21.940299987793
48,20.9679698944092
49,18.5931377410889
50,9.93536949157715
51,23.6967945098877
52,32.2941589355469
53,38.8888244628906
54,10.6707925796509
55,11.4255676269531
56,8.06788730621338
57,18.1366539001465
58,29.9819087982178
59,21.1499900817871
60,21.1355361938477
61,8.53900909423828
62,14.6845197677612
63,17.5298290252686
64,10.2108488082886
65,2.10728120803833
66,16.8696441650391
67,27.8712425231934
68,20.9007549285889
