"Id","VALENCE.PLEASANTNESS"
1,48.7826086956522
2,65.9803921568627
3,31.4
4,48.7826086956522
5,44.4545454545455
6,48.16
7,44.4545454545455
8,48.7826086956522
9,44.4545454545455
10,48.7826086956522
11,48.25
12,48.16
13,48.7826086956522
14,65.9803921568627
15,64.8461538461538
16,48.7826086956522
17,44.4545454545455
18,44.5714285714286
19,16.6
20,65.9803921568627
21,64.8461538461538
22,66.3333333333333
23,48.25
24,65.9803921568627
25,44.4545454545455
26,15
27,48.16
28,48.16
29,65.9803921568627
30,44.4545454545455
31,30.25
32,44.4545454545455
33,44.4545454545455
34,65.9803921568627
35,48.7826086956522
36,16.6
37,64.8461538461538
38,75.8571428571429
39,16.8666666666667
40,16.8666666666667
41,66.3333333333333
42,46
43,48.16
44,66.3333333333333
45,66.3333333333333
46,48.16
47,48.7826086956522
48,31.4
49,16.8666666666667
50,15
51,48.7826086956522
52,48.25
53,30.2
54,44.5714285714286
55,30.2
56,48.7826086956522
57,60.1
58,44.5714285714286
59,60.1
60,48.16
61,48.25
62,48.25
63,66.3333333333333
64,48.25
65,64.8461538461538
66,48.7826086956522
67,31.4
68,48.7826086956522
